iter	Passed	Remaining
1364	93798	181069
1365	93876	181017
1366	93952	180963
1367	94013	180880
1368	94077	180802
1369	94142	180725
1370	94220	180674
1371	94302	180632
1372	94374	180568
1373	94476	180565
1374	94549	180503
1375	94610	180420
1376	94675	180344
1377	94741	180269
1378	94809	180199
